"Time,s","Lumbar Flexion,deg","Lumbar Lateral - RT,deg","Lumbar Axial - RT,deg","Thoracic Flexion,deg","Thoracic Lateral - RT,deg","Thoracic Axial - RT,deg","LT Ellbogen Flexion,deg","RT Ellbogen Flexion,deg","LT Shoulder Total Flexion,deg","RT Shoulder Total Flexion,deg","LT Schulter Flexion,deg","RT Schulter Flexion,deg","LT Schulter Abduktion,deg","RT Schulter Abduktion,deg","LT Shoulder Rotation - out,deg","RT Shoulder Rotation - out,deg","LT Wrist Extension,deg","RT Wrist Extension,deg","LT Wrist Radial,deg","RT Wrist Radial,deg","LT Hand Supination,deg","RT Hand Supination,deg","LT Hüfte Flexion,deg","RT Hüfte Flexion,deg","LT Hüfte Abduktion,deg","RT Hüfte Abduktion,deg","LT Hip Rotation - out,deg","RT Hip Rotation - out,deg","LT Knie Flexion,deg","RT Knie Flexion,deg","LT Knee rotation - out,deg","RT Knee rotation - out,deg","LT Knee abduction,deg","RT Knee abduction,deg","LT Sprunggelenk Dorsiflexion,deg","RT Sprunggelenk Dorsiflexion,deg","LT Ankle Inversion,deg","RT Ankle Inversion,deg","LT Ankle Abduction,deg","RT Ankle Abduction,deg","Upper spine course,deg","Upper spine pitch,deg","Upper spine roll,deg","Lower spine course,deg","Lower spine pitch,deg","Lower spine roll,deg","Becken course,deg","Becken pitch,deg","Becken roll,deg","LT Upper arm course,deg","LT Upper arm pitch,deg","LT Upper arm roll,deg","LT Forearm course,deg","LT Forearm pitch,deg","LT Forearm roll,deg","LT Hand course,deg","LT Hand pitch,deg","LT Hand roll,deg","LT Thigh course,deg","LT Thigh pitch,deg","LT Thigh roll,deg","LT Shank course,deg","LT Shank pitch,deg","LT Shank roll,deg","LT Foot course,deg","LT Foot pitch,deg","LT Foot roll,deg","RT Upper arm course,deg","RT Upper arm pitch,deg","RT Upper arm roll,deg","RT Forearm course,deg","RT Forearm pitch,deg","RT Forearm roll,deg","RT Hand course,deg","RT Hand pitch,deg","RT Hand roll,deg","RT Thigh course,deg","RT Thigh pitch,deg","RT Thigh roll,deg","RT Shank course,deg","RT Shank pitch,deg","RT Shank roll,deg","RT Foot course,deg","RT Foot pitch,deg","RT Foot roll,deg","Noraxon MyoMotion.Sync,An","Upper spine Accel Earth X,mG","Upper spine Accel Earth Y,mG","Upper spine Accel Earth Z,mG","LT Upper arm Accel Earth X,mG","LT Upper arm Accel Earth Y,mG","LT Upper arm Accel Earth Z,mG","LT Forearm Accel Earth X,mG","LT Forearm Accel Earth Y,mG","LT Forearm Accel Earth Z,mG","LT Hand Accel Earth X,mG","LT Hand Accel Earth Y,mG","LT Hand Accel Earth Z,mG","RT Upper arm Accel Earth X,mG","RT Upper arm Accel Earth Y,mG","RT Upper arm Accel Earth Z,mG","RT Forearm Accel Earth X,mG","RT Forearm Accel Earth Y,mG","RT Forearm Accel Earth Z,mG","RT Hand Accel Earth X,mG","RT Hand Accel Earth Y,mG","RT Hand Accel Earth Z,mG","Lower spine Accel Earth X,mG","Lower spine Accel Earth Y,mG","Lower spine Accel Earth Z,mG","Becken Accel Earth X,mG","Becken Accel Earth Y,mG","Becken Accel Earth Z,mG","LT Thigh Accel Earth X,mG","LT Thigh Accel Earth Y,mG","LT Thigh Accel Earth Z,mG","LT Shank Accel Earth X,mG","LT Shank Accel Earth Y,mG","LT Shank Accel Earth Z,mG","LT Foot Accel Earth X,mG","LT Foot Accel Earth Y,mG","LT Foot Accel Earth Z,mG","RT Thigh Accel Earth X,mG","RT Thigh Accel Earth Y,mG","RT Thigh Accel Earth Z,mG","RT Shank Accel Earth X,mG","RT Shank Accel Earth Y,mG","RT Shank Accel Earth Z,mG","RT Foot Accel Earth X,mG","RT Foot Accel Earth Y,mG","RT Foot Accel Earth Z,mG","Upper spine Rot X,","Upper spine Rot Y,","Upper spine Rot Z,","LT Upper arm Rot X,","LT Upper arm Rot Y,","LT Upper arm Rot Z,","LT Forearm Rot X,","LT Forearm Rot Y,","LT Forearm Rot Z,","LT Hand Rot X,","LT Hand Rot Y,","LT Hand Rot Z,","RT Upper arm Rot X,","RT Upper arm Rot Y,","RT Upper arm Rot Z,","RT Forearm Rot X,","RT Forearm Rot Y,","RT Forearm Rot Z,","RT Hand Rot X,","RT Hand Rot Y,","RT Hand Rot Z,","Lower spine Rot X,","Lower spine Rot Y,","Lower spine Rot Z,","Becken Rot X,","Becken Rot Y,","Becken Rot Z,","LT Thigh Rot X,","LT Thigh Rot Y,","LT Thigh Rot Z,","LT Shank Rot X,","LT Shank Rot Y,","LT Shank Rot Z,","LT Foot Rot X,","LT Foot Rot Y,","LT Foot Rot Z,","RT Thigh Rot X,","RT Thigh Rot Y,","RT Thigh Rot Z,","RT Shank Rot X,","RT Shank Rot Y,","RT Shank Rot Z,","RT Foot Rot X,","RT Foot Rot Y,","RT Foot Rot Z,"
0,-0.307441,-0.268691,-2.28051,-0.299644,-0.142209,2.07148,-1.27072,-1.61968,3.61039,1.78644,3.40278,0.690837,-1.20789,-1.64759,-39.1894,-42.2867,1.11127,1.36447,0.07334,0.337512,52.1221,46.7518,1.37943,-0.26331,1.38137,3.21987,0.315996,4.05309,-1.38382,-1.87582,-5.29818,0.722575,-0.0328397,-0.96218,0.659212,0.203346,2.53873,2.064,6.87147,-2.71676,270.285,-2.21938,-0.864131,268.219,-2.54869,-0.641341,270.502,-2.82893,-0.473917,309.394,2.22392,-0.857374,309.409,0.953317,-0.856938,347.294,0.654521,0.83165,270.172,-1.44389,0.916246,275.492,-0.142067,0.874148,268.637,0.619448,-1.73275,227.999,-0.603499,1.60817,227.954,-2.22304,1.60995,184.706,-1.20549,1.46984,274.553,-2.82267,-3.90249,275.146,-0.914833,-2.94808,272.428,-0.850629,-0.84624,0,14.3094,-3.24184,-2.93908,-1.41455,-6.75337,-3.82709,-11.0443,4.8983,2.21991,-9.33496,3.66372,1.24126,-6.9253,-1.45146,0.957658,-26.7324,-1.5337,-1.57737,-9.89862,-7.98476,-1.61136,-1.97004,-4.33121,-2.25035,1.50322,4.74892,1.91502,-2.99956,-11.6371,1.62848,1.21364,-9.32918,-0.344623,4.27713,-20.4046,3.67264,0.252141,-2.09641,-3.08096,1.22668,-17.7352,-0.273529,0.817273,-6.37737,5.2417,0.455778,-0.0692792,0.872674,0.572295,-0.466027,0.485804,0.435087,-0.551367,0.282367,0.333462,-0.597826,0.213884,-0.480455,-0.513112,-0.521292,-0.501565,-0.487709,-0.447056,-0.433259,-0.480931,-0.442903,0.766067,-0.153445,0.619458,0.405729,-0.0700121,0.890076,0.359952,-0.689446,0.307641,0.374343,-0.68832,0.268931,0.232623,-0.260457,0.0568892,-0.541052,-0.554358,-0.48337,-0.480368,-0.577601,-0.455587,-0.256476,-0.22901,-0.352731
0.01,-0.314125,-0.270041,-2.27986,-0.288098,-0.149582,2.06938,-1.26178,-1.62651,3.62134,1.80672,3.4171,0.709242,-1.20153,-1.66199,-39.1805,-42.2683,1.11127,1.37617,0.0748894,0.342326,52.1141,46.733,1.38506,-0.260754,1.3783,3.21534,0.314404,4.04794,-1.38,-1.88128,-5.32126,0.70097,-0.025542,-0.957097,0.654069,0.203346,2.53204,2.06557,6.91567,-2.704,270.303,-2.22428,-0.874284,268.237,-2.54242,-0.643699,270.519,-2.82893,-0.474575,309.394,2.23361,-0.854424,309.419,0.971519,-0.853764,347.305,0.668526,0.845922,270.189,-1.43838,0.912374,275.531,-0.140334,0.876929,268.628,0.614702,-1.72382,228.03,-0.591138,1.60231,227.985,-2.21688,1.60319,184.714,-1.20953,1.45083,274.563,-2.82267,-3.89841,275.137,-0.909967,-2.94865,272.428,-0.842919,-0.84624,0,19.302,-0.804545,0.826616,0.5932,-6.99456,-3.5775,-1.43942,4.00572,-6.27918,-8.9291,2.1103,-4.0257,1.10702,0.994152,-1.88339,-22.0129,-4.60109,2.21503,-6.77274,-12.7831,-2.20986,8.65191,-11.2496,-7.80122,1.45901,5.60897,-4.26246,6.31487,-8.52298,-3.9355,4.85456,-3.02896,4.82473,6.41569,-12.2064,-3.4566,1.76499,-5.81279,-1.19815,-0.204447,-6.74437,-5.19704,4.08637,-7.94374,3.57389,0.455721,-0.0694019,0.872682,0.572353,-0.466025,0.48574,0.435085,-0.551425,0.282122,0.333515,-0.597812,0.213696,-0.48064,-0.512931,-0.521355,-0.501562,-0.487706,-0.446992,-0.433319,-0.480746,-0.442963,0.766078,-0.15357,0.619406,0.405717,-0.0700712,0.890051,0.359886,-0.689496,0.307514,0.374095,-0.688434,0.268745,0.232551,-0.260445,0.0569476,-0.541127,-0.554312,-0.483382,-0.48032,-0.577618,-0.455538,-0.25648,-0.228952,-0.352736
0.02,-0.329251,-0.26059,-2.27693,-0.274317,-0.164681,2.05461,-1.2506,-1.63333,3.62317,1.82498,3.42557,0.719102,-1.18429,-1.6777,-39.2113,-42.2167,1.11371,1.37967,0.0826366,0.350884,52.14,46.708,1.38844,-0.264589,1.39163,3.19993,0.315996,4.04279,-1.36471,-1.88674,-5.33774,0.690567,-0.0237176,-0.955644,0.66007,0.203346,2.53013,2.06243,6.94585,-2.70695,270.303,-2.22152,-0.889702,268.245,-2.52606,-0.644771,270.528,-2.82785,-0.484112,309.433,2.24126,-0.844983,309.448,0.990858,-0.844242,347.305,0.682532,0.871871,270.207,-1.43397,0.915278,275.559,-0.152462,0.881564,268.628,0.609955,-1.71669,228.081,-0.58314,1.59353,228.036,-2.21688,1.59418,184.739,-1.21055,1.43562,274.572,-2.82574,-3.89279,275.137,-0.908345,-2.94407,272.419,-0.842919,-0.843382,0,11.7239,-3.17085,3.12277,1.46018,-6.36746,-4.07669,-1.59645,6.81408,-9.95789,-4.32926,1.87582,5.06567,-3.1151,3.97661,-4.08601,-23.0119,-7.50415,-4.06088,-11.9825,-12.5207,1.56532,-3.5745,-9.50566,-1.70027,6.23396,8.1143,5.06554,9.78805,-5.73662,-2.57843,2.73069,-0.848108,6.54784,1.87124,-12.0242,-1.7283,2.26927,-4.76458,-0.342329,0.408894,-10.741,-6.56469,-3.26909,-8.61504,7.14777,0.455722,-0.0695241,0.872683,0.572314,-0.466104,0.485576,0.435098,-0.551441,0.281886,0.333646,-0.597707,0.213519,-0.48087,-0.512672,-0.521523,-0.501497,-0.487641,-0.446989,-0.433433,-0.480554,-0.443077,0.766143,-0.153693,0.619287,0.405709,-0.0701918,0.890033,0.359827,-0.689501,0.307455,0.373875,-0.68854,0.268702,0.232493,-0.260448,0.0570092,-0.541183,-0.554307,-0.483378,-0.480334,-0.577634,-0.45549,-0.256485,-0.228957,-0.352683
0.03,-0.338397,-0.25789,-2.28408,-0.275248,-0.168544,2.05321,-1.24502,-1.63333,3.63595,1.82904,3.43729,0.728961,-1.18792,-1.67726,-39.2331,-42.191,1.11797,1.37617,0.0847025,0.345536,52.164,46.6735,1.39859,-0.258198,1.39933,3.19585,0.333507,4.0294,-1.36471,-1.88492,-5.36081,0.676164,-0.0267583,-0.947656,0.647211,0.204578,2.533,2.06715,6.95986,-2.69615,270.313,-2.2148,-0.891582,268.263,-2.5205,-0.643056,270.545,-2.83144,-0.485099,309.461,2.25962,-0.837312,309.477,1.01475,-0.836625,347.316,0.695604,0.896522,270.198,-1.42736,0.923022,275.588,-0.147264,0.886199,268.637,0.605208,-1.71312,228.121,-0.573687,1.58035,228.077,-2.20612,1.58142,184.739,-1.21358,1.42611,274.572,-2.82369,-3.88871,275.127,-0.908345,-2.94808,272.419,-0.842919,-0.843382,0,6.33,-2.31898,0.551077,3.5592,4.29321,-9.81732,-5.75769,3.17845,3.77385,-4.14887,-0.381027,-3.22056,-7.13126,-1.2924,-10.3108,-18.7402,-1.20505,-4.53074,-15.4873,-4.38599,-3.26876,1.80756,-17.689,-0.900141,1.50322,0.897434,-0.432424,1.42085,-1.47513,0,6.67502,1.57506,3.44623,6.68301,-19.3115,-5.83301,-2.77355,-9.71974,-7.1889,12.8802,-6.24479,-3.00882,9.53486,-17.1182,-0.953037,0.455764,-0.0695822,0.872646,0.572316,-0.466228,0.485334,0.43516,-0.551442,0.281642,0.333752,-0.597616,0.213325,-0.481055,-0.512429,-0.521647,-0.501491,-0.487574,-0.446923,-0.433429,-0.480489,-0.443073,0.766162,-0.153757,0.619241,0.405668,-0.0702565,0.890017,0.35983,-0.689446,0.307458,0.373741,-0.688579,0.268571,0.232432,-0.260509,0.0569483,-0.541227,-0.554289,-0.483362,-0.480256,-0.577674,-0.455474,-0.256485,-0.228957,-0.352683
0.04,-0.350357,-0.266328,-2.29123,-0.274131,-0.167139,2.05883,-1.23943,-1.62378,3.646,1.83106,3.4464,0.723046,-1.19246,-1.6825,-39.2549,-42.1615,1.12832,1.38435,0.0872849,0.339652,52.182,46.6266,1.39183,-0.258198,1.39984,3.20628,0.34465,4.01394,-1.35898,-1.88128,-5.36905,0.683366,-0.0267583,-0.952739,0.657498,0.21074,2.53682,2.07422,6.97495,-2.704,270.322,-2.20532,-0.89271,268.263,-2.51005,-0.645842,270.563,-2.83252,-0.479508,309.49,2.27798,-0.829641,309.506,1.03864,-0.829008,347.327,0.705874,0.926362,270.207,-1.43508,0.929314,275.588,-0.161124,0.890834,268.628,0.602835,-1.71312,228.162,-0.568598,1.58035,228.118,-2.19227,1.58142,184.739,-1.21156,1.4147,274.572,-2.82574,-3.89279,275.127,-0.913211,-2.94693,272.419,-0.842919,-0.834805,0,11.3673,0.402272,-4.04123,-1.59708,-10.5642,0.291192,-9.60487,4.17988,6.3426,-7.75659,8.52913,4.46182,-16.3478,3.65848,-10.8854,-13.814,-6.13478,-4.69854,-10.3249,-3.14892,-3.86726,-2.01065,-13.2236,-1.05016,0.751612,3.85149,-2.84164,1.57872,-5.57272,-0.678535,1.82046,-4.84633,-1.03387,9.35621,-12.0242,-0.86415,1.51285,-12.102,2.73863,14.9246,-14.7377,-4.92352,-3.54152,-7.38432,3.57389,0.45583,-0.069644,0.872595,0.572319,-0.466352,0.485092,0.435264,-0.551419,0.281447,0.333819,-0.597505,0.213085,-0.481284,-0.512231,-0.521814,-0.501499,-0.487521,-0.446808,-0.433437,-0.480437,-0.44302,0.766208,-0.153815,0.619168,0.405659,-0.0702548,0.889995,0.35977,-0.689448,0.30752,0.373614,-0.688632,0.268629,0.232431,-0.260508,0.0570091,-0.541183,-0.554307,-0.483378,-0.48027,-0.577691,-0.455487,-0.256548,-0.228958,-0.352624
0.05,-0.366186,-0.264641,-2.29481,-0.259046,-0.171002,2.05672,-1.23496,-1.62241,3.66243,1.84121,3.46854,0.729619,-1.17885,-1.69079,-39.2882,-42.1302,1.12467,1.39487,0.0903838,0.35035,52.208,46.5921,1.39521,-0.253085,1.40035,3.19404,0.358978,4.00467,-1.34177,-1.87946,-5.36905,0.688967,-0.0316234,-0.93749,0.667785,0.218134,2.52152,2.08209,6.97387,-2.71676,270.322,-2.20409,-0.898727,268.271,-2.49404,-0.6482,270.572,-2.83216,-0.483126,309.528,2.29176,-0.807218,309.545,1.05684,-0.806791,347.338,0.71241,0.954906,270.198,-1.43177,0.92641,275.588,-0.173252,0.882491,268.628,0.598088,-1.70598,228.193,-0.562781,1.57669,228.149,-2.18458,1.57766,184.739,-1.2065,1.39378,274.572,-2.82165,-3.8836,275.137,-0.911589,-2.95323,272.41,-0.83264,-0.834805,0,0.668662,-1.27781,0.183692,-1.87086,-10.8536,8.15337,-12.3529,5.72557,9.70419,-0.992122,-1.05515,0.100643,-16.7855,-9.06667,-6.16093,-8.2333,1.58847,2.55064,-8.14623,2.84902,-3.36083,-4.44781,-12.342,-1.45023,1.90114,-0.261752,1.60615,-0.94723,-5.08101,-0.949949,-9.1023,-2.9078,2.41236,4.54445,-16.0322,-4.53679,4.79068,-6.00337,-3.25212,1.84002,-3.24729,-6.83822,-1.90697,-10.0695,0.476518,0.455828,-0.0697048,0.872592,0.572305,-0.466402,0.484836,0.435276,-0.551435,0.281211,0.333882,-0.597387,0.212903,-0.481468,-0.512048,-0.521936,-0.501447,-0.48753,-0.446694,-0.433491,-0.480307,-0.442952,0.766284,-0.153879,0.619058,0.405652,-0.0703147,0.889981,0.359823,-0.689433,0.307513,0.373618,-0.6887,0.268692,0.232373,-0.260511,0.0570708,-0.541243,-0.554305,-0.483315,-0.480274,-0.577635,-0.455552,-0.256543,-0.228893,-0.352556
0.06,-0.374276,-0.270379,-2.29741,-0.258674,-0.173108,2.05532,-1.21707,-1.61422,3.66609,1.85135,3.48091,0.719102,-1.15525,-1.70606,-39.3434,-42.1173,1.11797,1.41007,0.0888344,0.344466,52.248,46.5733,1.39521,-0.265867,1.40753,3.19404,0.370917,4.01085,-1.32648,-1.89402,-5.36245,0.687367,-0.0535166,-0.932407,0.6755,0.21074,2.5024,2.09468,6.96956,-2.7413,270.332,-2.194,-0.903239,268.271,-2.4836,-0.650987,270.58,-2.83001,-0.479837,309.586,2.29788,-0.775944,309.603,1.08073,-0.775687,347.361,0.715211,0.987342,270.198,-1.42956,0.937543,275.579,-0.183647,0.87044,268.618,0.593341,-1.69706,228.213,-0.55551,1.58474,228.17,-2.16919,1.58592,184.731,-1.20448,1.38238,274.582,-2.83186,-3.88105,275.146,-0.906723,-2.95552,272.391,-0.83778,-0.823369,0,9.8962,-1.70374,-5.64854,13.7349,-3.71435,-6.53102,-13.5306,0.653107,-0.190278,1.39799,-1.17239,-5.40115,-14.1338,-0.854971,-0.989579,-17.1556,-6.87424,-8.22245,-1.37349,-5.21071,7.96471,1.29982,-13.8177,-1.75027,1.72429,4.44978,-3.58294,-3.78892,-4.42539,-5.69969,4.55115,-0.969266,0.344623,4.00981,-12.0242,-0.432075,0,-2.95404,-2.3963,-8.17788,-3.74687,-10.1206,6.26576,-11.3002,1.90607,0.455899,-0.0697673,0.872549,0.572193,-0.466471,0.484539,0.435279,-0.551439,0.280908,0.333882,-0.597263,0.212659,-0.481605,-0.512003,-0.521953,-0.501487,-0.487448,-0.446614,-0.433499,-0.480255,-0.442899,0.766331,-0.153938,0.618986,0.405669,-0.0703176,0.889958,0.35982,-0.689365,0.307571,0.373674,-0.688752,0.26875,0.232314,-0.260514,0.0571324,-0.541297,-0.554298,-0.48337,-0.480324,-0.577561,-0.455603,-0.256608,-0.228957,-0.352439
0.07,-0.389754,-0.264978,-2.30196,-0.248803,-0.168192,2.04759,-1.20813,-1.60192,3.67339,1.84526,3.49263,0.723703,-1.14345,-1.69777,-39.405,-42.1284,1.10945,1.39838,0.0965815,0.342861,52.288,46.5733,1.38732,-0.27098,1.42344,3.17501,0.394,4.01085,-1.32457,-1.89038,-5.37399,0.70017,-0.0571655,-0.92224,0.685786,0.216902,2.48901,2.09704,6.96956,-2.75504,270.322,-2.18728,-0.905495,268.271,-2.46689,-0.658704,270.58,-2.82821,-0.492334,309.643,2.30655,-0.754112,309.661,1.09779,-0.75347,347.372,0.727349,1.01199,270.181,-1.43397,0.941415,275.569,-0.19231,0.869513,268.618,0.595715,-1.68635,228.193,-0.554055,1.56937,228.149,-2.15535,1.57015,184.714,-1.19841,1.37097,274.591,-2.83493,-3.87543,275.165,-0.913211,-2.96009,272.4,-0.83778,-0.826228,0,6.06254,-4.33034,-0.872539,8.66984,-1.54363,0.998372,-7.01391,7.77197,4.6301,-0.0450964,6.03781,-1.3419,-18.3302,7.01872,-3.16027,-12.9873,1.67063,0.201366,-4.5941,0.0374871,-0.322272,-2.35592,-13.741,0.450071,3.27172,4.15063,-6.85701,-1.89446,2.29465,-4.34262,2.42728,4.96749,4.4801,4.54445,-13.4816,-4.10471,0.252141,-6.67041,3.93678,-10.2224,-19.2339,-1.9147,7.35546,-4.92288,8.57733,0.455951,-0.069766,0.872533,0.572081,-0.466601,0.484242,0.435217,-0.551499,0.280602,0.333937,-0.597192,0.212411,-0.481545,-0.511943,-0.521953,-0.501544,-0.487383,-0.446549,-0.433489,-0.480244,-0.442767,0.766411,-0.154002,0.618879,0.405666,-0.0704391,0.88995,0.359887,-0.689315,0.307698,0.373681,-0.688764,0.268816,0.232246,-0.260445,0.0571917,-0.541353,-0.554293,-0.483366,-0.480389,-0.577505,-0.455729,-0.256602,-0.228952,-0.352493
0.08,-0.401714,-0.278143,-2.30977,-0.248617,-0.168895,2.05602,-1.20813,-1.60739,3.68617,1.86014,3.50565,0.719102,-1.14073,-1.71566,-39.4576,-42.1523,1.1131,1.41943,0.102263,0.347675,52.33,46.589,1.39183,-0.274814,1.41831,3.18679,0.394796,4.00055,-1.31693,-1.88856,-5.37069,0.714573,-0.0656795,-0.920788,0.685786,0.225529,2.48614,2.10254,6.97387,-2.76682,270.322,-2.17688,-0.910008,268.271,-2.4568,-0.662562,270.589,-2.82965,-0.483126,309.701,2.32695,-0.73877,309.719,1.11941,-0.738236,347.394,0.73762,1.04313,270.181,-1.43067,0.945287,275.569,-0.195775,0.864878,268.609,0.593341,-1.68635,228.172,-0.54024,1.57596,228.129,-2.14765,1.57691,184.714,-1.19942,1.35005,274.582,-2.84106,-3.87748,275.174,-0.919699,-2.96353,272.391,-0.83778,-0.823369,0,5.52761,-2.53195,0.688847,16.1989,-8.77938,-2.28794,-5.653,-3.00429,2.02963,1.66857,1.75858,-0.167738,-11.0702,0.994152,4.62868,-17.9824,-0.219099,-1.64449,-4.73618,-7.08507,-3.22272,13.5871,-15.6192,-0.850133,-1.59165,2.58012,-6.79523,-17.208,-2.13075,-1.35707,3.64092,-4.24054,-0.689246,0.534641,-13.846,1.51226,-2.01713,-9.52916,1.36931,-2.45336,-25.2289,-4.10293,2.72424,-9.51011,3.33563,0.456022,-0.0698286,0.872491,0.571994,-0.466824,0.483854,0.435131,-0.551589,0.28022,0.334004,-0.597081,0.212171,-0.481532,-0.512052,-0.521757,-0.501556,-0.487334,-0.446499,-0.433494,-0.480127,-0.44271,0.766469,-0.154002,0.618815,0.405663,-0.0703775,0.889943,0.359875,-0.689292,0.307688,0.373693,-0.688788,0.268825,0.232258,-0.260459,0.0572558,-0.541292,-0.554354,-0.483366,-0.48039,-0.577506,-0.45579,-0.256608,-0.228957,-0.352439
0.09,-0.430207,-0.275442,-2.30782,-0.241354,-0.167841,2.05461,-1.20255,-1.60192,3.69713,1.86082,3.51672,0.716472,-1.14255,-1.7174,-39.5179,-42.1799,1.1064,1.42527,0.0955486,0.341791,52.3739,46.6266,1.40535,-0.27098,1.41831,3.1732,0.374897,3.99643,-1.30546,-1.8922,-5.3641,0.728977,-0.0535166,-0.906991,0.695216,0.237853,2.48519,2.10962,6.99435,-2.77663,270.322,-2.16404,-0.911136,268.263,-2.43661,-0.665134,270.58,-2.83828,-0.487401,309.758,2.34837,-0.723428,309.767,1.14671,-0.723001,347.394,0.748824,1.06259,270.189,-1.42626,0.940931,275.579,-0.202705,0.872294,268.59,0.595715,-1.67921,228.142,-0.531515,1.56937,228.098,-2.13381,1.5709,184.714,-1.20246,1.33674,274.572,-2.84718,-3.86829,275.174,-0.921321,-2.96868,272.391,-0.8275,-0.823369,0,-7.04324,-0.0473261,-1.60731,21.8571,-1.83306,4.61747,2.56479,-2.98252,6.12061,-2.4803,2.4034,0.26838,-19.9263,3.08187,-1.81955,-14.7442,-5.4501,4.29581,5.5887,-4.49846,4.00538,-2.47778,-8.01082,0.800125,1.32637,0.897434,-3.21229,-9.78805,-7.86737,-2.71414,3.33751,-1.69622,-2.41236,6.95033,-13.2995,-9.07357,-6.30352,-9.0527,-0.171164,4.29339,-9.74187,-2.46176,-0.544849,-16.2231,-0.714777,0.456123,-0.0698254,0.872451,0.57194,-0.467013,0.483493,0.435084,-0.551668,0.279802,0.334069,-0.597028,0.21199,-0.481427,-0.51213,-0.521592,-0.501613,-0.487269,-0.446434,-0.433503,-0.480015,-0.44272,0.76658,-0.154,0.618685,0.405595,-0.0703763,0.889989,0.359835,-0.689333,0.307584,0.373606,-0.6888,0.268867,0.232247,-0.260385,0.0573751,-0.541271,-0.554455,-0.483287,-0.480377,-0.577489,-0.455839,-0.256603,-0.228892,-0.352372
