"Time,s","Lumbar Flexion,deg","Lumbar Lateral - RT,deg","Lumbar Axial - RT,deg","Thoracic Flexion,deg","Thoracic Lateral - RT,deg","Thoracic Axial - RT,deg","LT Ellbogen Flexion,deg","RT Ellbogen Flexion,deg","LT Shoulder Total Flexion,deg","RT Shoulder Total Flexion,deg","LT Schulter Flexion,deg","RT Schulter Flexion,deg","LT Schulter Abduktion,deg","RT Schulter Abduktion,deg","LT Shoulder Rotation - out,deg","RT Shoulder Rotation - out,deg","LT Wrist Extension,deg","RT Wrist Extension,deg","LT Wrist Radial,deg","RT Wrist Radial,deg","LT Hand Supination,deg","RT Hand Supination,deg","LT Hüfte Flexion,deg","RT Hüfte Flexion,deg","LT Hüfte Abduktion,deg","RT Hüfte Abduktion,deg","LT Hip Rotation - out,deg","RT Hip Rotation - out,deg","LT Knie Flexion,deg","RT Knie Flexion,deg","LT Knee rotation - out,deg","RT Knee rotation - out,deg","LT Knee abduction,deg","RT Knee abduction,deg","LT Sprunggelenk Dorsiflexion,deg","RT Sprunggelenk Dorsiflexion,deg","LT Ankle Inversion,deg","RT Ankle Inversion,deg","LT Ankle Abduction,deg","RT Ankle Abduction,deg","Upper spine course,deg","Upper spine pitch,deg","Upper spine roll,deg","Lower spine course,deg","Lower spine pitch,deg","Lower spine roll,deg","Becken course,deg","Becken pitch,deg","Becken roll,deg","LT Upper arm course,deg","LT Upper arm pitch,deg","LT Upper arm roll,deg","LT Forearm course,deg","LT Forearm pitch,deg","LT Forearm roll,deg","LT Hand course,deg","LT Hand pitch,deg","LT Hand roll,deg","LT Thigh course,deg","LT Thigh pitch,deg","LT Thigh roll,deg","LT Shank course,deg","LT Shank pitch,deg","LT Shank roll,deg","LT Foot course,deg","LT Foot pitch,deg","LT Foot roll,deg","RT Upper arm course,deg","RT Upper arm pitch,deg","RT Upper arm roll,deg","RT Forearm course,deg","RT Forearm pitch,deg","RT Forearm roll,deg","RT Hand course,deg","RT Hand pitch,deg","RT Hand roll,deg","RT Thigh course,deg","RT Thigh pitch,deg","RT Thigh roll,deg","RT Shank course,deg","RT Shank pitch,deg","RT Shank roll,deg","RT Foot course,deg","RT Foot pitch,deg","RT Foot roll,deg","Noraxon MyoMotion.Sync,An","Upper spine Accel Earth X,mG","Upper spine Accel Earth Y,mG","Upper spine Accel Earth Z,mG","LT Upper arm Accel Earth X,mG","LT Upper arm Accel Earth Y,mG","LT Upper arm Accel Earth Z,mG","LT Forearm Accel Earth X,mG","LT Forearm Accel Earth Y,mG","LT Forearm Accel Earth Z,mG","LT Hand Accel Earth X,mG","LT Hand Accel Earth Y,mG","LT Hand Accel Earth Z,mG","RT Upper arm Accel Earth X,mG","RT Upper arm Accel Earth Y,mG","RT Upper arm Accel Earth Z,mG","RT Forearm Accel Earth X,mG","RT Forearm Accel Earth Y,mG","RT Forearm Accel Earth Z,mG","RT Hand Accel Earth X,mG","RT Hand Accel Earth Y,mG","RT Hand Accel Earth Z,mG","Lower spine Accel Earth X,mG","Lower spine Accel Earth Y,mG","Lower spine Accel Earth Z,mG","Becken Accel Earth X,mG","Becken Accel Earth Y,mG","Becken Accel Earth Z,mG","LT Thigh Accel Earth X,mG","LT Thigh Accel Earth Y,mG","LT Thigh Accel Earth Z,mG","LT Shank Accel Earth X,mG","LT Shank Accel Earth Y,mG","LT Shank Accel Earth Z,mG","LT Foot Accel Earth X,mG","LT Foot Accel Earth Y,mG","LT Foot Accel Earth Z,mG","RT Thigh Accel Earth X,mG","RT Thigh Accel Earth Y,mG","RT Thigh Accel Earth Z,mG","RT Shank Accel Earth X,mG","RT Shank Accel Earth Y,mG","RT Shank Accel Earth Z,mG","RT Foot Accel Earth X,mG","RT Foot Accel Earth Y,mG","RT Foot Accel Earth Z,mG","Upper spine Rot X,","Upper spine Rot Y,","Upper spine Rot Z,","LT Upper arm Rot X,","LT Upper arm Rot Y,","LT Upper arm Rot Z,","LT Forearm Rot X,","LT Forearm Rot Y,","LT Forearm Rot Z,","LT Hand Rot X,","LT Hand Rot Y,","LT Hand Rot Z,","RT Upper arm Rot X,","RT Upper arm Rot Y,","RT Upper arm Rot Z,","RT Forearm Rot X,","RT Forearm Rot Y,","RT Forearm Rot Z,","RT Hand Rot X,","RT Hand Rot Y,","RT Hand Rot Z,","Lower spine Rot X,","Lower spine Rot Y,","Lower spine Rot Z,","Becken Rot X,","Becken Rot Y,","Becken Rot Z,","LT Thigh Rot X,","LT Thigh Rot Y,","LT Thigh Rot Z,","LT Shank Rot X,","LT Shank Rot Y,","LT Shank Rot Z,","LT Foot Rot X,","LT Foot Rot Y,","LT Foot Rot Z,","RT Thigh Rot X,","RT Thigh Rot Y,","RT Thigh Rot Z,","RT Shank Rot X,","RT Shank Rot Y,","RT Shank Rot Z,","RT Foot Rot X,","RT Foot Rot Y,","RT Foot Rot Z,"
0,2.2634,0.813335,-0.168546,1.51498,-1.3208,-0.303147,2.19757,1.37202,5.43179,1.44267,4.94116,1.42626,-2.2668,-0.220238,-40.7666,-39.0068,-2.13581,2.19501,-0.688167,1.30585,55.5269,49.6975,4.84278,-7.46653,1.13078,1.66548,4.20482,-1.3679,-4.13929,13.4634,-1.06678,10.3898,-1.59976,6.71582,-5.44034,-19.826,1.14529,17.7558,-5.75278,-14.6465,278.77,-5.89366,-1.69152,279.065,-4.36958,-0.400764,279.182,-2.10589,-1.2242,319.202,1.84238,-3.61308,319.066,4.03598,-3.62013,353.619,6.01713,-2.84739,274.875,2.72087,-0.294956,275.921,6.89503,-1.76809,281.842,1.62544,-2.74579,239.601,-4.39325,1.67789,239.645,-3.02134,1.67496,199.332,-1.64577,0.71417,277.965,-9.63753,-2.67529,289.613,-20.9807,-13.713,276.393,-42.8056,13.7546,0,22.4314,-26.0086,-3.51442,-4.63525,-21.9344,-2.80318,-11.6387,7.81221,-2.26413,-0.987798,11.5003,-2.93408,65.5736,-42.0618,-1.45058,54.0326,-35.2858,6.97721,4.73473,23.3678,33.7004,-41.8717,2.70208,-13.3998,-25.2597,14.5726,34.7135,33.9538,-13.8826,-11.5933,30.238,-64.0255,-10.8546,-0.21427,-20.4254,-5.97194,-19.5397,-2.24755,30.6332,-2.76169,47.3479,-6.82948,-1.56748,25.9799,2.9137,0.533113,-0.174937,0.787279,0.564445,-0.468672,0.445355,0.441673,-0.584746,0.229931,0.328759,-0.5648,0.23604,-0.65267,-0.27839,-0.631673,-0.616065,-0.303791,-0.537264,-0.547699,-0.318743,-0.588595,0.747906,-0.268448,0.553315,0.456749,-0.16169,0.815165,0.406035,-0.689136,0.212479,0.217969,-0.74333,0.15278,0.221868,-0.270148,-0.0439464,-0.641799,-0.43397,-0.577589,-0.47908,-0.657674,-0.532365,-0.449114,-0.35536,-0.467364
0.01,2.27389,0.794111,-0.186399,1.56746,-1.32698,-0.347115,2.23934,1.35083,5.45537,1.45919,4.98495,1.45875,-2.2267,-0.0337411,-40.9503,-39.6575,-2.05395,2.161,-0.708092,1.29826,55.5542,49.9048,4.78606,-7.58286,1.09248,1.73514,3.73816,-1.31056,-4.13549,13.2693,-0.394269,10.2445,-1.54146,6.79875,-5.44659,-19.8091,1.15787,17.92,-5.90194,-14.4445,278.761,-5.88799,-1.66066,279.099,-4.31024,-0.368334,279.233,-2.03592,-1.17406,319.379,1.8455,-3.52157,319.242,4.07964,-3.52824,353.763,5.93646,-2.69348,275.399,2.73835,-0.261527,275.773,6.88486,-1.75659,281.842,1.61359,-2.74579,238.937,-4.44384,1.58326,238.974,-3.09333,1.58128,198.87,-1.74784,0.712175,278.066,-9.68239,-2.70218,289.556,-20.8493,-13.7334,276.636,-42.6499,13.6637,0,54.7267,59.3853,-66.5566,5.16716,-13.5647,-7.32831,-21.9377,4.60171,-1.76469,-0.1796,2.43823,-8.43547,86.2883,-53.2387,-7.21752,60.2055,-42.4959,-3.77932,7.94759,17.663,25.3321,-48.9115,2.13791,-17.2408,-13.6904,16.4431,26.4375,76.8298,-14.6913,-7.67206,9.60262,-23.3179,-11.3973,1.92843,-22.1454,-2.38878,-27.7253,16.0539,4.57419,26.8279,75.2778,-18.9945,-6.89692,22.1513,0.832487,0.533241,-0.174695,0.787226,0.563996,-0.469081,0.444177,0.441242,-0.584802,0.228586,0.328339,-0.564079,0.234763,-0.650565,-0.281639,-0.630422,-0.613929,-0.307453,-0.534945,-0.545704,-0.320952,-0.58709,0.74817,-0.268577,0.552781,0.457295,-0.161689,0.81467,0.402862,-0.690786,0.209915,0.218885,-0.743024,0.153695,0.221807,-0.270209,-0.0438854,-0.641929,-0.433548,-0.578084,-0.478776,-0.65731,-0.53255,-0.449192,-0.353543,-0.468542
0.02,2.2645,0.77883,-0.204252,1.61528,-1.29991,-0.369485,2.26659,1.31772,5.4857,1.4959,5.01586,1.4904,-2.23297,0.123922,-41.1187,-40.2003,-1.96498,2.15513,-0.716522,1.29523,55.5815,50.0389,4.74783,-7.67672,1.06125,1.77796,3.41183,-1.263,-4.1317,13.1181,0.138557,10.2108,-1.48635,6.8524,-5.44838,-19.7687,1.18511,18.0115,-6.05229,-14.3439,278.761,-5.87143,-1.60286,279.124,-4.24539,-0.340109,279.285,-1.98012,-1.13152,319.555,1.85799,-3.4455,319.419,4.1214,-3.45212,353.93,5.86985,-2.54149,275.772,2.75708,-0.235309,275.617,6.88656,-1.74077,281.832,1.61359,-2.75297,238.392,-4.45671,1.5183,238.43,-3.13833,1.51571,198.452,-1.82451,0.694221,278.159,-9.71828,-2.71004,289.594,-20.7354,-13.7558,276.838,-42.497,13.594,0,29.1291,-60.4559,-33.7674,6.00303,5.86842,1.40159,-14.2344,13.7695,-9.48936,12.4822,4.14499,-22.3723,113.588,-50.5136,-16.7701,64.6594,-50.3069,-9.0953,3.43832,9.13318,18.1464,-37.6345,-10.6598,-14.1418,-10.7595,19.0096,5.28749,106.075,-15.7695,-7.67206,-26.1518,14.4255,-8.95501,-2.99978,-7.74015,-19.1102,-46.4729,27.9981,-21.9007,43.0035,96.0258,-21.769,0,25.4329,-5.20304,0.533479,-0.174388,0.787034,0.563522,-0.469642,0.442967,0.440821,-0.584872,0.227308,0.327954,-0.563436,0.233407,-0.649032,-0.284261,-0.629194,-0.612088,-0.310744,-0.532677,-0.544034,-0.32277,-0.585662,0.748473,-0.268698,0.552229,0.457729,-0.161692,0.814257,0.400597,-0.691935,0.20802,0.21986,-0.742652,0.15461,0.221879,-0.270222,-0.0438264,-0.642136,-0.433198,-0.578411,-0.479033,-0.656595,-0.53293,-0.449299,-0.351822,-0.469503
0.03,2.23966,0.800519,-0.201831,1.63285,-1.37146,-0.38337,2.29565,1.30315,5.44358,1.4959,5.0062,1.48624,-2.14839,0.168092,-41.2532,-40.6153,-1.8898,2.15709,-0.734914,1.27448,55.5731,50.0946,4.71823,-7.77719,1.05418,1.77853,3.23724,-1.21125,-4.11083,13.02,0.428063,10.3021,-1.46239,6.86801,-5.43229,-19.7002,1.21445,18.0095,-6.14417,-14.3523,278.77,-5.80852,-1.6301,279.15,-4.16466,-0.29707,279.302,-1.92462,-1.11008,319.702,1.86944,-3.3629,319.566,4.16127,-3.37044,354.085,5.79806,-2.39719,275.976,2.7858,-0.21499,275.53,6.88317,-1.73023,281.832,1.62939,-2.76735,237.983,-4.44728,1.45756,238.021,-3.14476,1.45576,198.099,-1.88556,0.662302,278.233,-9.75865,-2.69693,289.747,-20.6566,-13.7772,277,-42.3598,13.5379,0,11.0574,-25.5468,-14.1301,13.9817,14.0938,-8.80999,-24.1985,13.2701,-7.85786,12.3924,7.47723,-12.6899,110.707,-60.3478,-29.2593,67.8631,-48.6136,-10.1336,7.77849,8.28295,15.4176,-39.9366,3.50379,-8.07478,-11.7236,22.4461,37.932,115.493,-25.2043,-3.06882,-52.7123,36.7554,-1.35682,-2.1427,-11.1802,8.36072,-54.6585,34.9334,-22.5937,31.3649,96.0258,-18.3542,-7.83741,31.9963,-5.61928,0.533835,-0.174751,0.786774,0.563225,-0.469954,0.441937,0.440394,-0.584995,0.226087,0.327473,-0.562839,0.232069,-0.647935,-0.286154,-0.628158,-0.610625,-0.313248,-0.530666,-0.542622,-0.32423,-0.584371,0.74888,-0.268752,0.551543,0.45815,-0.16175,0.813939,0.399455,-0.692454,0.206931,0.220402,-0.742444,0.155154,0.222052,-0.27021,-0.0438855,-0.642373,-0.433009,-0.578587,-0.479897,-0.655571,-0.533491,-0.449369,-0.350364,-0.470244
0.04,2.20818,0.792139,-0.219382,1.66155,-1.40975,-0.409596,2.36284,1.30315,5.38547,1.50508,4.97851,1.4929,-2.06443,0.185883,-41.3535,-40.8673,-1.82084,2.18876,-0.769399,1.25627,55.5122,50.0702,4.70096,-7.86709,1.05653,1.76083,3.23724,-1.20845,-4.09755,12.9832,0.452846,10.5171,-1.49034,6.85338,-5.45464,-19.5969,1.22388,17.9308,-6.12269,-14.4392,278.753,-5.75175,-1.63893,279.158,-4.07841,-0.269645,279.337,-1.86973,-1.07515,319.8,1.84758,-3.28386,319.664,4.20683,-3.29154,354.252,5.72627,-2.26252,276.011,2.82576,-0.179595,275.538,6.90858,-1.72543,281.822,1.63137,-2.77214,237.719,-4.4104,1.4159,237.749,-3.10748,1.4136,197.81,-1.9173,0.594476,278.26,-9.79342,-2.64316,289.986,-20.6163,-13.7859,277.131,-42.2279,13.4954,0,-7.62326,-18.5986,-5.50713,16.1094,17.4129,-7.92899,-21.854,12.628,2.79686,13.2904,5.6892,-11.0028,97.9489,-68.1282,-30.0376,61.3386,-49.7333,-13.2899,-3.83288,9.764,8.95948,-38.0015,1.98944,0.960245,-10.1425,41.0643,28.813,97.1526,-48.1172,-1.87539,-50.6692,22.7251,7.86956,5.57101,-18.0603,11.9439,-64.4283,36.4103,-10.3959,1.57811,87.2478,-23.4763,-18.1828,42.7984,8.74111,0.534221,-0.174879,0.78656,0.562961,-0.469938,0.441311,0.440033,-0.585124,0.224869,0.326975,-0.562273,0.230781,-0.647378,-0.28731,-0.627296,-0.609712,-0.314897,-0.528958,-0.541591,-0.32515,-0.583158,0.749321,-0.268818,0.550882,0.458579,-0.161751,0.813577,0.399315,-0.692301,0.206616,0.220411,-0.742355,0.154978,0.222111,-0.270207,-0.043824,-0.642693,-0.433081,-0.578417,-0.481301,-0.65435,-0.534101,-0.449438,-0.349027,-0.470803
0.05,2.11928,0.786717,-0.216053,1.69386,-1.43296,-0.433508,2.41915,1.29786,5.33746,1.51334,4.9579,1.5029,-1.98549,0.171773,-41.3762,-41.0227,-1.76924,2.23294,-0.811547,1.2335,55.3946,49.9675,4.71083,-7.90939,1.07892,1.71573,3.34003,-1.2602,-4.10324,12.9975,0.269229,10.8341,-1.52948,6.8007,-5.50023,-19.4723,1.25322,17.7882,-6.00456,-14.5879,278.761,-5.67938,-1.64632,279.184,-3.97285,-0.255632,279.363,-1.85253,-1.05544,319.83,1.84134,-3.19591,319.703,4.25619,-3.20335,354.407,5.65818,-2.13169,275.931,2.85448,-0.144201,275.651,6.94924,-1.7077,281.822,1.62149,-2.78652,237.575,-4.34008,1.37777,237.605,-3.04191,1.37613,197.553,-1.93684,0.508696,278.233,-9.81922,-2.56841,290.283,-20.604,-13.784,277.212,-42.1092,13.4625,0,12.9571,-16.6884,-3.55065,8.81457,16.5951,1.68191,-17.3325,13.8765,1.56491,12.2128,-1.62548,-12.0297,76.7541,-77.054,-33.3633,51.0243,-43.0694,-25.0017,-3.21286,-0.740528,3.22905,-28.2926,-3.0584,0.34918,-2.66095,42.7173,23.2956,86.4955,-43.8042,-3.58029,-7.96813,15.0183,15.7391,5.14247,-19.3504,-5.97194,-72.6139,26.5853,-1.38612,-32.5485,63.0419,-3.41474,-13.7938,31.1758,13.9441,0.534692,-0.175118,0.786229,0.563088,-0.469575,0.440887,0.43972,-0.585236,0.223645,0.326491,-0.56173,0.229502,-0.647317,-0.287737,-0.626564,-0.60934,-0.315748,-0.527671,-0.540755,-0.325771,-0.582018,0.749813,-0.269064,0.550091,0.458708,-0.161753,0.813406,0.399794,-0.691797,0.206916,0.219798,-0.742344,0.154243,0.222175,-0.270333,-0.0437635,-0.642916,-0.433494,-0.577971,-0.483004,-0.65306,-0.534704,-0.449435,-0.347926,-0.471104
0.06,2.00995,0.751226,-0.191241,1.72591,-1.43876,-0.453564,2.4591,1.29123,5.2886,1.51334,4.93343,1.50707,-1.91594,0.138032,-41.3497,-41.0792,-1.72653,2.28924,-0.841434,1.22237,55.2224,49.795,4.72316,-7.94112,1.07009,1.69574,3.4673,-1.35391,-4.14118,12.9996,-0.0247826,11.1764,-1.55184,6.72363,-5.54492,-19.3691,1.30247,17.6201,-5.81841,-14.7513,278.761,-5.59754,-1.65023,279.21,-3.85831,-0.255232,279.371,-1.84801,-1.01775,319.82,1.8403,-3.11034,319.684,4.29606,-3.11703,354.574,5.59897,-2.00279,275.816,2.87196,-0.12257,275.826,7.01362,-1.67223,281.812,1.63137,-2.80569,237.524,-4.25433,1.34811,237.554,-2.96348,1.34615,197.335,-1.93928,0.404962,278.14,-9.8495,-2.49366,290.532,-20.5847,-13.7645,277.232,-41.9985,13.4412,0,9.47428,-12.3011,-9.89109,13.4498,3.65574,-7.56858,-17.4999,10.3093,3.86234,17.4212,10.6469,2.20056,71.5411,-88.3889,-23.8815,36.2562,-48.5863,-18.5644,-8.28578,-10.1754,3.45645,-26.2907,-5.07753,5.19405,6.78734,32.0162,17.1652,58.242,-49.8694,-1.36392,20.2268,-12.647,6.7841,-1.49989,-13.7603,-3.18504,-63.1081,25.4936,2.21779,-72.1985,34.5799,0.213421,-8.7779,27.484,1.04061,0.535232,-0.175359,0.785849,0.563455,-0.468966,0.440705,0.439114,-0.585547,0.222243,0.326013,-0.56126,0.228166,-0.647611,-0.28761,-0.626004,-0.609296,-0.316062,-0.526709,-0.540129,-0.326129,-0.580903,0.750342,-0.269361,0.549282,0.458819,-0.161505,0.813324,0.400547,-0.691221,0.207476,0.218825,-0.742295,0.153147,0.222362,-0.270338,-0.0437033,-0.642875,-0.434301,-0.577379,-0.484592,-0.651901,-0.535133,-0.449308,-0.347129,-0.471038
0.07,1.90338,0.725101,-0.158258,1.74349,-1.43257,-0.457421,2.46818,1.29653,5.2726,1.53261,4.93794,1.52873,-1.85767,0.10245,-41.274,-41.0491,-1.70562,2.33968,-0.871321,1.19505,55.0249,49.5547,4.72686,-7.95434,1.06301,1.68147,3.58642,-1.45182,-4.19999,12.9771,-0.319921,11.4466,-1.55344,6.64851,-5.60392,-19.3129,1.36744,17.4843,-5.643,-14.8612,278.778,-5.50955,-1.64791,279.227,-3.75275,-0.258835,279.354,-1.84922,-0.992503,319.761,1.86632,-3.00635,319.635,4.33023,-3.01307,354.718,5.53902,-1.87774,275.683,2.87571,-0.110117,275.991,7.08477,-1.6243,281.793,1.63532,-2.82725,237.575,-4.14799,1.3022,237.605,-2.85163,1.30025,197.142,-1.93586,0.283274,278.02,-9.86745,-2.43727,290.685,-20.5427,-13.7305,277.222,-41.9009,13.4219,0,-10.692,-13.3297,-8.7317,11.0942,-17.4129,-1.24141,-11.2201,0.891805,2.76357,26.7604,7.19277,-2.12721,60.0863,-82.5437,-20.8034,33.9902,-40.5295,-10.2166,-10.3713,-16.0722,-4.91179,-29.0933,10.6895,-3.09897,16.6598,35.7572,-12.3375,44.1152,-43.1303,-10.5704,54.7554,-12.4494,1.89955,10.2849,-0.645012,-0.39813,-54.3944,21.7691,0.138612,-103.169,1.33,-4.05501,9.40489,15.8614,-10.198,0.535814,-0.175614,0.785409,0.564251,-0.468052,0.440585,0.438381,-0.585912,0.220778,0.32558,-0.560762,0.226942,-0.648234,-0.286761,-0.62565,-0.609659,-0.315817,-0.525914,-0.539629,-0.326243,-0.579852,0.750842,-0.26961,0.548559,0.458885,-0.161263,0.813334,0.40132,-0.690697,0.208137,0.217901,-0.742144,0.152103,0.222546,-0.2704,-0.0436424,-0.642683,-0.435149,-0.576821,-0.485749,-0.651043,-0.535313,-0.449129,-0.346521,-0.470859
0.08,1.81337,0.69306,-0.115289,1.7484,-1.41014,-0.44585,2.45728,1.29256,5.26502,1.56565,4.94695,1.56455,-1.81068,0.0576667,-41.1774,-40.9237,-1.6994,2.37135,-0.903507,1.16621,54.8107,49.2412,4.7096,-7.99268,1.04239,1.6769,3.67779,-1.53294,-4.26449,12.9199,-0.551976,11.5908,-1.53427,6.58803,-5.62627,-19.2849,1.43974,17.4184,-5.51532,-14.8968,278.795,-5.41021,-1.64342,279.235,-3.64925,-0.274649,279.319,-1.83534,-0.973482,319.692,1.909,-2.89938,319.566,4.3644,-2.90632,354.874,5.48129,-1.76423,275.558,2.87196,-0.116671,276.104,7.15084,-1.58309,281.773,1.67087,-2.856,237.728,-4.01678,1.24147,237.749,-2.72306,1.23936,196.975,-1.91926,0.159591,277.9,-9.89436,-2.39858,290.713,-20.4989,-13.6781,277.182,-41.8244,13.4335,0,3.38541,-6.67534,-13.1157,6.23099,-10.6786,0.0800908,-7.03346,-4.88709,9.1564,22.3602,-7.68042,-5.57475,47.0539,-73.6574,-20.485,17.1514,-48.4497,-6.10506,5.86205,-8.39266,-0.818632,-28.059,2.43484,3.71004,14.7702,24.1862,16.6288,42.6282,-23.3173,-10.7409,57.6157,-24.5036,-18.7241,11.9991,9.89019,-7.96259,-39.0795,24.8515,-7.62365,-111.651,-8.77798,-31.5864,-2.82147,16.6818,-4.37055,0.53647,-0.175914,0.784897,0.565222,-0.467071,0.440458,0.437511,-0.58638,0.219183,0.325095,-0.560339,0.225723,-0.64922,-0.285178,-0.625476,-0.610194,-0.31526,-0.52523,-0.539296,-0.326202,-0.57885,0.751339,-0.269857,0.547894,0.459074,-0.161021,0.813345,0.40207,-0.690301,0.208757,0.217359,-0.741927,0.151376,0.222972,-0.270277,-0.0435813,-0.642373,-0.436001,-0.57639,-0.486292,-0.65073,-0.535123,-0.449076,-0.3461,-0.470501
0.09,1.73386,0.639824,-0.0689918,1.75434,-1.36992,-0.435823,2.44639,1.28594,5.25997,1.62163,4.95726,1.62203,-1.76808,0.024539,-41.0771,-40.7031,-1.69762,2.38308,-0.932628,1.15508,54.6028,48.8685,4.68247,-8.03894,1.0088,1.67519,3.77079,-1.5805,-4.31381,12.8382,-0.688281,11.5812,-1.51031,6.57339,-5.64057,-19.2579,1.49842,17.445,-5.48071,-14.8172,278.821,-5.31797,-1.63705,279.252,-3.55128,-0.306678,279.294,-1.81664,-0.949621,319.624,1.95063,-2.79895,319.507,4.39287,-2.80514,355.018,5.42726,-1.66034,275.434,2.86197,-0.12978,276.122,7.19489,-1.55433,281.754,1.69654,-2.88475,237.975,-3.88215,1.15744,238.004,-2.59706,1.15599,196.853,-1.89337,0.0259335,277.817,-9.92352,-2.36317,290.608,-20.4621,-13.612,277.161,-41.7426,13.4528,0,-28.8369,-0.230908,54.3467,-4.25531,-7.35958,5.68645,1.50717,2.5684,13.6847,22.001,-8.9808,-0.440112,32.2381,-64.6527,-18.5391,7.345,-48.914,-11.2964,4.84747,-15.3317,-15.2357,-27.6253,-6.17618,8.03114,7.86715,29.9717,7.04999,27.51,-15.0956,-12.7868,47.1959,-23.3179,-18.9955,-0.642809,7.52514,14.3327,-37.4952,38.6579,-23.7026,-96.8565,-9.57598,-22.8361,3.13496,-4.23882,3.32995,0.537073,-0.176216,0.784398,0.566135,-0.466153,0.440334,0.436546,-0.586884,0.217541,0.324607,-0.559975,0.224564,-0.650421,-0.28285,-0.625639,-0.610762,-0.314537,-0.524696,-0.539154,-0.325885,-0.577975,0.751771,-0.270225,0.547286,0.459303,-0.160771,0.813317,0.402787,-0.689969,0.209359,0.217356,-0.74167,0.151191,0.223337,-0.270214,-0.04352,-0.64217,-0.436659,-0.576067,-0.486182,-0.65099,-0.534587,-0.449132,-0.345547,-0.470251
