"Time,s","Lumbar Flexion,deg","Lumbar Lateral - RT,deg","Lumbar Axial - RT,deg","Thoracic Flexion,deg","Thoracic Lateral - RT,deg","Thoracic Axial - RT,deg","LT Ellbogen Flexion,deg","RT Ellbogen Flexion,deg","LT Shoulder Total Flexion,deg","RT Shoulder Total Flexion,deg","LT Schulter Flexion,deg","RT Schulter Flexion,deg","LT Schulter Abduktion,deg","RT Schulter Abduktion,deg","LT Shoulder Rotation - out,deg","RT Shoulder Rotation - out,deg","LT Wrist Extension,deg","RT Wrist Extension,deg","LT Wrist Radial,deg","RT Wrist Radial,deg","LT Hand Supination,deg","RT Hand Supination,deg","LT Hüfte Flexion,deg","RT Hüfte Flexion,deg","LT Hüfte Abduktion,deg","RT Hüfte Abduktion,deg","LT Hip Rotation - out,deg","RT Hip Rotation - out,deg","LT Knie Flexion,deg","RT Knie Flexion,deg","LT Knee rotation - out,deg","RT Knee rotation - out,deg","LT Knee abduction,deg","RT Knee abduction,deg","LT Sprunggelenk Dorsiflexion,deg","RT Sprunggelenk Dorsiflexion,deg","LT Ankle Inversion,deg","RT Ankle Inversion,deg","LT Ankle Abduction,deg","RT Ankle Abduction,deg","Upper spine course,deg","Upper spine pitch,deg","Upper spine roll,deg","Lower spine course,deg","Lower spine pitch,deg","Lower spine roll,deg","Becken course,deg","Becken pitch,deg","Becken roll,deg","LT Upper arm course,deg","LT Upper arm pitch,deg","LT Upper arm roll,deg","LT Forearm course,deg","LT Forearm pitch,deg","LT Forearm roll,deg","LT Hand course,deg","LT Hand pitch,deg","LT Hand roll,deg","LT Thigh course,deg","LT Thigh pitch,deg","LT Thigh roll,deg","LT Shank course,deg","LT Shank pitch,deg","LT Shank roll,deg","LT Foot course,deg","LT Foot pitch,deg","LT Foot roll,deg","RT Upper arm course,deg","RT Upper arm pitch,deg","RT Upper arm roll,deg","RT Forearm course,deg","RT Forearm pitch,deg","RT Forearm roll,deg","RT Hand course,deg","RT Hand pitch,deg","RT Hand roll,deg","RT Thigh course,deg","RT Thigh pitch,deg","RT Thigh roll,deg","RT Shank course,deg","RT Shank pitch,deg","RT Shank roll,deg","RT Foot course,deg","RT Foot pitch,deg","RT Foot roll,deg","Noraxon MyoMotion.Sync,An","Upper spine Accel Earth X,mG","Upper spine Accel Earth Y,mG","Upper spine Accel Earth Z,mG","LT Upper arm Accel Earth X,mG","LT Upper arm Accel Earth Y,mG","LT Upper arm Accel Earth Z,mG","LT Forearm Accel Earth X,mG","LT Forearm Accel Earth Y,mG","LT Forearm Accel Earth Z,mG","LT Hand Accel Earth X,mG","LT Hand Accel Earth Y,mG","LT Hand Accel Earth Z,mG","RT Upper arm Accel Earth X,mG","RT Upper arm Accel Earth Y,mG","RT Upper arm Accel Earth Z,mG","RT Forearm Accel Earth X,mG","RT Forearm Accel Earth Y,mG","RT Forearm Accel Earth Z,mG","RT Hand Accel Earth X,mG","RT Hand Accel Earth Y,mG","RT Hand Accel Earth Z,mG","Lower spine Accel Earth X,mG","Lower spine Accel Earth Y,mG","Lower spine Accel Earth Z,mG","Becken Accel Earth X,mG","Becken Accel Earth Y,mG","Becken Accel Earth Z,mG","LT Thigh Accel Earth X,mG","LT Thigh Accel Earth Y,mG","LT Thigh Accel Earth Z,mG","LT Shank Accel Earth X,mG","LT Shank Accel Earth Y,mG","LT Shank Accel Earth Z,mG","LT Foot Accel Earth X,mG","LT Foot Accel Earth Y,mG","LT Foot Accel Earth Z,mG","RT Thigh Accel Earth X,mG","RT Thigh Accel Earth Y,mG","RT Thigh Accel Earth Z,mG","RT Shank Accel Earth X,mG","RT Shank Accel Earth Y,mG","RT Shank Accel Earth Z,mG","RT Foot Accel Earth X,mG","RT Foot Accel Earth Y,mG","RT Foot Accel Earth Z,mG","Upper spine Rot X,","Upper spine Rot Y,","Upper spine Rot Z,","LT Upper arm Rot X,","LT Upper arm Rot Y,","LT Upper arm Rot Z,","LT Forearm Rot X,","LT Forearm Rot Y,","LT Forearm Rot Z,","LT Hand Rot X,","LT Hand Rot Y,","LT Hand Rot Z,","RT Upper arm Rot X,","RT Upper arm Rot Y,","RT Upper arm Rot Z,","RT Forearm Rot X,","RT Forearm Rot Y,","RT Forearm Rot Z,","RT Hand Rot X,","RT Hand Rot Y,","RT Hand Rot Z,","Lower spine Rot X,","Lower spine Rot Y,","Lower spine Rot Z,","Becken Rot X,","Becken Rot Y,","Becken Rot Z,","LT Thigh Rot X,","LT Thigh Rot Y,","LT Thigh Rot Z,","LT Shank Rot X,","LT Shank Rot Y,","LT Shank Rot Z,","LT Foot Rot X,","LT Foot Rot Y,","LT Foot Rot Z,","RT Thigh Rot X,","RT Thigh Rot Y,","RT Thigh Rot Z,","RT Shank Rot X,","RT Shank Rot Y,","RT Shank Rot Z,","RT Foot Rot X,","RT Foot Rot Y,","RT Foot Rot Z,"
0,3.63495,1.00986,0.311676,-0.563647,0.0348606,1.9173,0.0436057,-0.0150393,3.26985,1.88182,3.19689,1.49313,-0.688364,-1.14622,-39.0344,-39.6541,-0.392187,1.46723,0.0972673,0.164681,45.8191,42.139,-0.26486,-0.802284,2.37725,-1.28943,-1.59454,0.0540847,1.21625,0.695777,0.827838,1.96521,-0.332195,-0.213202,0.963753,1.0559,1.24272,-0.209113,-1.3235,-2.74788,272.349,-2.18305,-1.10199,270.437,-2.78207,-1.06374,269.995,0.84478,-2.05618,311.307,1.91339,-0.751857,311.303,1.95694,-0.751916,355.517,2.27039,0.611848,271.599,0.570578,0.337018,270.767,-0.645354,0.0144041,272.092,0.318882,-1.22156,232.676,-0.50314,0.474602,232.675,-0.517999,0.474676,184.816,-0.973159,-0.403742,270.084,0.0434717,-0.766299,272.053,-0.632552,-0.575258,269.298,0.393566,-0.804694,0,3.23553,-10.5322,6.39464,9.29775,-1.10611,-0.560944,16.9777,-12.4761,3.77062,18.8775,-22.2674,-4.07789,12.635,-5.1399,0.468997,-9.62412,-6.38546,2.99344,-12.8176,-3.15346,5.82298,2.09425,-5.85265,-2.79132,5.80895,-10.4037,1.70498,-3.61722,-10.4491,-7.86423,-3.54639,-18.1661,-10.3629,-1.56718,-9.23173,4.98361,6.17894,-17.0841,2.551,-1.27467,4.92651,-7.41562,-5.63729,-7.41606,-2.54691,0.568453,-0.144662,0.790084,0.607832,-0.401152,0.481785,0.42672,-0.582857,0.228101,0.325464,-0.579878,0.227373,-0.651787,-0.299219,-0.598987,-0.567713,-0.394732,-0.448689,-0.495515,-0.389734,-0.506441,0.740827,-0.173045,0.607458,0.472437,-0.133491,0.838972,0.383023,-0.731619,0.247576,0.21778,-0.744713,0.224494,0.230668,-0.2455,0.0327781,-0.612778,-0.559612,-0.415131,-0.474037,-0.63506,-0.39206,-0.297071,-0.0686065,-0.369218
0.01,3.62224,1.00357,0.292437,-0.560271,0.0485935,1.92119,0.0514918,0,3.26912,1.87651,3.19689,1.48988,-0.684541,-1.14131,-38.9768,-39.714,-0.400148,1.48063,0.0846554,0.163459,45.7852,42.1918,-0.248784,-0.793607,2.38048,-1.31241,-1.67664,-0.0318145,1.2367,0.719833,0.910852,2.05713,-0.332195,-0.19076,0.964407,1.0642,1.2393,-0.214521,-1.33534,-2.74236,272.316,-2.17367,-1.09436,270.404,-2.76955,-1.06979,269.986,0.84478,-2.05706,311.221,1.91246,-0.738984,311.217,1.96419,-0.739053,355.462,2.26263,0.612993,271.668,0.585953,0.341018,270.75,-0.649774,0.0187689,272.082,0.313567,-1.21302,232.584,-0.495923,0.473486,232.59,-0.49599,0.473506,184.778,-0.96952,-0.430353,269.98,0.0516739,-0.744418,272.044,-0.647187,-0.577737,269.29,0.389094,-0.812286,0,11.687,-8.07393,2.50732,4.57844,-1.48381,-1.52629,11.8615,-1.16493,2.6933,17.7151,-18.0356,-5.58283,14.3056,0.560118,-7.85925,-15.6639,-2.28158,-4.1324,-8.93179,-15.6212,-2.21222,0.785344,-16.92,7.19303,7.25259,-3.24987,-5.49381,4.46124,-8.8255,0.610156,2.99473,-2.65283,-6.01205,-0.783591,-2.51038,-1.96721,11.159,-16.6322,5.89566,-2.44312,-0.746441,-6.20491,1.04394,-2.60785,0.477546,0.568569,-0.144477,0.790076,0.60818,-0.400591,0.482137,0.427277,-0.582562,0.228654,0.325704,-0.579687,0.227736,-0.651592,-0.299702,-0.598671,-0.567604,-0.394924,-0.448333,-0.495441,-0.389724,-0.506184,0.740947,-0.172861,0.607456,0.472454,-0.133435,0.839003,0.382646,-0.731782,0.247203,0.21785,-0.744682,0.224625,0.230596,-0.245489,0.0328377,-0.612401,-0.560152,-0.414636,-0.473966,-0.63517,-0.392052,-0.297014,-0.0686685,-0.369223
0.02,3.62173,1.01439,0.284741,-0.55849,0.0308991,1.92638,0.0663363,0,3.25561,1.8898,3.18888,1.48933,-0.656718,-1.16431,-38.9232,-39.7689,-0.418494,1.49235,0.0727345,0.175374,45.7652,42.2399,-0.246488,-0.798947,2.37679,-1.33435,-1.77798,-0.116123,1.26054,0.742038,1.00655,2.1652,-0.323909,-0.176086,0.976176,1.07748,1.24386,-0.225337,-1.35473,-2.74346,272.291,-2.16559,-1.10316,270.371,-2.76007,-1.06098,269.961,0.854183,-2.05941,311.134,1.89989,-0.72582,311.14,1.96612,-0.725897,355.397,2.2589,0.60269,271.746,0.597912,0.336018,270.733,-0.661561,0.0240068,272.082,0.313567,-1.21302,232.507,-0.480973,0.479903,232.506,-0.481055,0.479944,184.746,-0.954963,-0.45421,269.866,0.0541346,-0.724865,272.044,-0.6667,-0.574431,269.29,0.382386,-0.817979,0,9.47629,3.22506,-10.3597,2.72358,-2.15826,3.36566,3.13732,-11.5796,-0.56944,9.84336,-17.1294,0.303415,11.5597,-6.21621,-1.93284,-4.38871,-14.3266,-2.13191,-3.38855,-5.38396,-4.58973,0.765207,-5.82491,-0.536793,9.17745,-1.00153,2.21917,5.06411,-8.74224,-1.83047,0.55166,-9.11188,-16.454,1.04479,-7.04527,0.262295,16.8768,-8.58726,2.43763,-8.71025,2.91112,-0.756696,9.60427,-3.17831,4.05914,0.56864,-0.144418,0.79009,0.608432,-0.400047,0.48251,0.427886,-0.582194,0.229325,0.325942,-0.579554,0.228159,-0.65147,-0.30019,-0.598305,-0.567544,-0.394985,-0.447968,-0.495446,-0.389728,-0.505884,0.741054,-0.172614,0.607443,0.472549,-0.133366,0.839016,0.382218,-0.732025,0.246775,0.217907,-0.744668,0.224804,0.230596,-0.245489,0.0328377,-0.611965,-0.560754,-0.414141,-0.473957,-0.635279,-0.392044,-0.296957,-0.0687305,-0.369228
0.03,3.61359,1.00105,0.2699,-0.567116,0.0372374,1.92941,0.0630891,0.0115007,3.23407,1.89132,3.16885,1.48337,-0.64716,-1.17352,-38.8983,-39.7976,-0.425417,1.49989,0.067206,0.17568,45.7672,42.2687,-0.235006,-0.798947,2.35369,-1.34533,-1.87034,-0.187706,1.28609,0.754992,1.10109,2.23353,-0.301311,-0.164002,0.982061,1.08744,1.24613,-0.237956,-1.37627,-2.72469,272.258,-2.14456,-1.10217,270.338,-2.74721,-1.06702,269.936,0.859246,-2.05295,311.086,1.89398,-0.717921,311.083,1.95742,-0.718004,355.342,2.24801,0.593533,271.815,0.614141,0.321017,270.707,-0.671875,0.0323,272.082,0.310024,-1.20661,232.446,-0.462414,0.478229,232.444,-0.451185,0.478188,184.715,-0.941133,-0.483573,269.781,0.0582357,-0.707639,272.025,-0.67483,-0.570299,269.29,0.384622,-0.827469,0,7.92186,-5.5856,0.524788,2.23052,3.18344,4.0701,-18.112,2.22787,11.7274,20.4813,-3.0828,-5.38865,14.9201,0.878616,-4.47679,-11.5715,-9.80043,-6.32272,-0.69981,-7.26066,-0.940831,10.6122,-12.8333,-5.41394,0.567146,-6.64282,2.92281,12.7808,-9.82461,-0.610156,-12.2153,-2.59516,-3.32245,-0.652993,-4.93979,6.81967,14.7557,-5.06197,-2.60769,-1.48712,-10.7488,1.96741,-8.9779,0.651961,4.21832,0.568826,-0.144297,0.790033,0.608619,-0.399683,0.482757,0.428379,-0.581833,0.229999,0.326136,-0.579391,0.228595,-0.651408,-0.300495,-0.597999,-0.567428,-0.395112,-0.447607,-0.495463,-0.389681,-0.505596,0.741174,-0.17243,0.607441,0.472618,-0.133246,0.839029,0.381859,-0.732283,0.246292,0.217974,-0.744627,0.224994,0.230538,-0.245493,0.0328381,-0.611607,-0.56125,-0.41372,-0.473848,-0.635419,-0.391933,-0.296886,-0.068728,-0.369215
0.04,3.61563,1.00558,0.256707,-0.568054,0.0316914,1.93331,0.058914,0.023886,3.22567,1.89474,3.16156,1.47579,-0.640151,-1.18885,-38.8826,-39.7939,-0.435801,1.51664,0.0568401,0.181485,45.7732,42.2591,-0.240364,-0.804286,2.33567,-1.3611,-1.9332,-0.244972,1.29802,0.771646,1.15528,2.2944,-0.278712,-0.150191,0.986637,1.09574,1.25182,-0.229844,-1.39027,-2.70482,272.224,-2.1326,-1.10396,270.304,-2.73638,-1.06339,269.92,0.872024,-2.05471,311.038,1.89414,-0.711485,311.035,1.95307,-0.711572,355.288,2.24026,0.580368,271.859,0.621828,0.302016,270.699,-0.674822,0.0371014,272.082,0.310024,-1.20661,232.415,-0.450558,0.485763,232.421,-0.426818,0.485797,184.677,-0.928032,-0.512019,269.705,0.0647974,-0.693673,272.007,-0.684587,-0.571125,269.29,0.384622,-0.819877,0,4.53665,-1.55615,-5.11183,8.75773,-3.64207,-0.97839,-1.85826,-6.80172,7.18726,10.2553,-7.67059,-1.26221,5.74144,-4.04163,-3.21192,-6.44901,0.65188,-6.1913,0.276241,-9.30657,1.47482,3.90658,-9.72668,-1.59504,-6.87449,-7.256,4.41128,24.1148,-5.95305,3.59314,-7.64444,2.82584,-0.474635,6.00753,-0.0809801,0.262295,20.3813,-2.07902,0.793646,1.91201,-6.19546,2.27009,-3.13183,-3.01532,1.27346,0.568943,-0.144174,0.790026,0.608809,-0.399382,0.482945,0.428861,-0.58152,0.230606,0.32632,-0.579269,0.229022,-0.651415,-0.300681,-0.597823,-0.567374,-0.395239,-0.447246,-0.495451,-0.389671,-0.505278,0.741291,-0.172185,0.607437,0.472737,-0.133184,0.839023,0.38168,-0.732474,0.245989,0.218026,-0.744597,0.225106,0.230538,-0.245493,0.0328381,-0.611292,-0.561668,-0.413347,-0.473728,-0.635543,-0.391874,-0.296941,-0.0687268,-0.369208
0.05,3.59987,1.01389,0.24324,-0.569367,0.0258813,1.9346,0.0440696,0.0353866,3.21581,1.90347,3.15282,1.47795,-0.634841,-1.19959,-38.8761,-39.7752,-0.448955,1.51622,0.059086,0.186374,45.7952,42.2335,-0.238068,-0.798947,2.32043,-1.37551,-1.97425,-0.270423,1.30824,0.790151,1.18065,2.31676,-0.260634,-0.145875,0.991868,1.10155,1.25068,-0.236154,-1.38919,-2.68163,272.191,-2.11513,-1.10408,270.271,-2.72047,-1.05838,269.895,0.872747,-2.05882,311,1.8974,-0.702416,310.997,1.94194,-0.702509,355.234,2.23668,0.570638,271.876,0.625245,0.283515,270.69,-0.683662,0.0371014,272.082,0.308252,-1.20661,232.4,-0.428906,0.481578,232.406,-0.393019,0.481407,184.639,-0.905225,-0.542299,269.648,0.070539,-0.68343,271.979,-0.697596,-0.566166,269.29,0.377913,-0.819877,0,4.55968,-2.30039,1.67155,5.18889,-8.03953,1.72197,-6.6487,-17.007,-6.09455,2.0599,-1.99856,-0.582556,8.10331,-0.516187,-8.24298,0.366902,1.6297,-4.0886,2.76241,-14.329,-3.66161,3.66494,-3.7076,-5.16855,-8.12909,-3.06591,1.29903,27.8526,-6.1612,9.01675,-17.8108,1.44175,-0.711953,-1.56718,-1.53862,2.62295,23.978,-5.8755,3.79816,-3.39912,-4.03078,-2.42143,-0.417577,-0.570466,4.05914,0.569102,-0.144045,0.789992,0.608984,-0.399133,0.483061,0.429216,-0.581199,0.231149,0.326557,-0.579135,0.229445,-0.651493,-0.300689,-0.597655,-0.567355,-0.395287,-0.446865,-0.495499,-0.389661,-0.504899,0.741435,-0.171946,0.607395,0.472761,-0.13313,0.839066,0.381623,-0.732604,0.245809,0.218031,-0.744614,0.225173,0.230538,-0.245492,0.0328991,-0.611113,-0.561916,-0.413105,-0.473601,-0.63572,-0.391747,-0.29694,-0.0687875,-0.369207
0.06,3.59326,1.0222,0.229222,-0.575649,0.0161098,1.9359,0.0241223,0.0530799,3.20376,1.90613,3.14008,1.47009,-0.638452,-1.214,-38.8578,-39.734,-0.440648,1.5225,0.0542486,0.189734,45.7972,42.1726,-0.24266,-0.804286,2.30749,-1.37482,-1.96912,-0.275196,1.32357,0.790151,1.14606,2.318,-0.251594,-0.154507,1.00494,1.11152,1.25068,-0.248772,-1.38596,-2.66618,272.166,-2.09929,-1.10482,270.238,-2.711,-1.04974,269.878,0.875399,-2.05912,310.943,1.90237,-0.704463,310.949,1.92647,-0.704556,355.179,2.21804,0.560908,271.859,0.623536,0.270515,270.699,-0.69987,0.0327365,272.092,0.304709,-1.21088,232.415,-0.414472,0.486321,232.414,-0.361577,0.486382,184.589,-0.883146,-0.567992,269.629,0.0680783,-0.684362,271.961,-0.699222,-0.558727,269.281,0.384622,-0.825571,0,8.34789,-12.4642,5.59774,8.26466,-5.88126,1.57847,-5.24897,-2.44797,1.70832,1.58906,2.9857,2.80355,13.7871,-8.64339,5.11633,-3.17511,-3.51867,-4.87711,9.5211,-1.4306,-2.17408,5.89008,-10.679,-3.48149,-1.73581,1.04241,3.35582,29.6612,-6.91053,6.50833,-9.69346,-4.84429,-1.42391,1.04479,-4.93979,1.57377,20.289,2.16941,-0.453512,4.14268,-2.46326,0.605357,-1.46152,-11.4908,-6.12851,0.569246,-0.143929,0.789962,0.609177,-0.398895,0.483252,0.429522,-0.580957,0.231699,0.326683,-0.578959,0.229874,-0.651614,-0.300627,-0.597592,-0.567355,-0.395348,-0.446499,-0.495505,-0.389727,-0.504478,0.741542,-0.171698,0.607382,0.472801,-0.133063,0.839091,0.381797,-0.732587,0.245864,0.217903,-0.744715,0.225166,0.230535,-0.24555,0.0328376,-0.610996,-0.562043,-0.413048,-0.473526,-0.635823,-0.391614,-0.296892,-0.0687296,-0.369162
0.07,3.58462,1.03529,0.213006,-0.570398,0.0132048,1.94369,0,0.0619266,3.19317,1.91448,3.12879,1.47551,-0.639939,-1.22075,-38.8264,-39.6865,-0.443417,1.52962,0.0692792,0.193706,45.7892,42.1054,-0.245722,-0.814298,2.31951,-1.39059,-1.9409,-0.264061,1.33549,0.808655,1.0838,2.31551,-0.255361,-0.15278,1.00494,1.13061,1.24272,-0.253279,-1.36442,-2.65735,272.132,-2.08861,-1.10261,270.205,-2.69509,-1.04473,269.862,0.883355,-2.06792,310.885,1.90113,-0.705341,310.891,1.90133,-0.705141,355.125,2.21326,0.551178,271.807,0.628661,0.273515,270.716,-0.705764,0.031427,272.082,0.299394,-1.20448,232.438,-0.396944,0.482694,232.437,-0.334852,0.482578,184.545,-0.871258,-0.597355,269.62,0.0664379,-0.677378,271.952,-0.718735,-0.553768,269.281,0.384622,-0.825571,0,2.78647,-11.8553,4.33436,6.26893,-0.377696,2.62209,-15.3005,12.6532,10.6809,-3.25169,0.283197,-0.242732,17.3203,7.21563,3.33983,-4.99551,1.32598,-1.47481,7.71633,-5.99927,-3.83961,14.7504,-10.9379,-2.822,5.10431,0.34747,-0.324757,17.1215,-6.61912,5.01684,-4.72852,-1.55709,0.870165,0,-5.99253,3.40984,7.74673,-0.994315,0.680268,-6.5858,5.44902,-6.65892,4.38456,-5.78616,-2.46732,0.569357,-0.143804,0.789946,0.609367,-0.398594,0.483501,0.429668,-0.580745,0.2322,0.32687,-0.578845,0.230244,-0.651769,-0.300432,-0.597567,-0.567362,-0.395475,-0.446137,-0.495461,-0.38974,-0.504129,0.741686,-0.171459,0.607339,0.472869,-0.133065,0.839103,0.382104,-0.732406,0.246048,0.21778,-0.744772,0.225104,0.230477,-0.245553,0.0328991,-0.61099,-0.562099,-0.412983,-0.47348,-0.635966,-0.391565,-0.296892,-0.0687296,-0.369162
0.08,3.57241,1.05039,0.194317,-0.561678,0.00581009,1.93893,-0.0218028,0.0716579,3.18805,1.9274,3.12259,1.48419,-0.644187,-1.22995,-38.8015,-39.6303,-0.448263,1.52417,0.0706614,0.194012,45.7612,42.0317,-0.256439,-0.823643,2.33244,-1.40706,-1.88317,-0.248153,1.33549,0.812356,0.977725,2.29937,-0.2644,-0.134654,1.01279,1.13559,1.23475,-0.24697,-1.32134,-2.63858,272.099,-2.07826,-1.09897,270.172,-2.6758,-1.03419,269.845,0.890829,-2.0735,310.827,1.90439,-0.704171,310.824,1.88247,-0.703971,355.092,2.20312,0.537442,271.737,0.625245,0.280015,270.75,-0.710184,0.0279352,272.073,0.302938,-1.20021,232.454,-0.374262,0.480182,232.46,-0.302624,0.480236,184.488,-0.848209,-0.61846,269.629,0.0647974,-0.666205,271.933,-0.725239,-0.562033,269.29,0.384622,-0.827469,0,1.79624,-8.66031,5.18957,3.80362,0.404674,6.17038,-4.00611,1.22936,5.24808,-0.25013,4.23986,4.29635,-1.59378,4.6347,-0.156332,0.606799,-2.51122,0.6863,15.1196,-10.2065,-4.17017,7.55138,-14.026,4.233,2.3717,-0.286152,0.189442,15.6746,-2.70593,4.47448,1.65498,-14.5905,0,0.130599,-7.28821,-4.19672,7.19339,-1.44628,-0.680268,5.31113,-3.28434,10.0641,3.13183,-9.12746,-2.94487,0.569479,-0.143621,0.789946,0.609594,-0.398278,0.483732,0.429838,-0.580544,0.23262,0.326928,-0.578777,0.230546,-0.651948,-0.300247,-0.597502,-0.567362,-0.395536,-0.445771,-0.495455,-0.389857,-0.503695,0.741848,-0.17121,0.607261,0.47293,-0.133065,0.839102,0.382526,-0.732153,0.246411,0.217546,-0.744869,0.224932,0.23048,-0.245495,0.0329605,-0.611058,-0.562105,-0.412926,-0.473367,-0.636039,-0.391573,-0.296886,-0.068728,-0.369215
0.09,3.55818,1.08034,0.181674,-0.56224,-0.00581009,1.94109,-0.0436057,0.0902359,3.18696,1.92208,3.11932,1.48635,-0.655019,-1.21922,-38.7597,-39.5816,-0.455186,1.50742,0.0703158,0.191262,45.7193,41.9661,-0.261798,-0.83232,2.36247,-1.42557,-1.80492,-0.21952,1.33038,0.810506,0.854356,2.27576,-0.293025,-0.129475,1.01018,1.13642,1.21654,-0.250575,-1.29765,-2.62643,272.074,-2.06533,-1.09036,270.139,-2.66294,-1.01449,269.829,0.889382,-2.08436,310.76,1.91308,-0.700953,310.757,1.8699,-0.700755,355.07,2.19582,0.527139,271.642,0.618411,0.298016,270.776,-0.711657,0.015277,272.073,0.299394,-1.1938,232.477,-0.363952,0.468464,232.475,-0.274327,0.46853,184.444,-0.827829,-0.633141,269.639,0.0549548,-0.658756,271.924,-0.73337,-0.558727,269.29,0.377913,-0.827469,0,8.54363,-2.57103,-0.174929,1.40875,3.66905,10.2535,-10.8479,2.47482,12.6816,3.61953,12.1532,0.801015,2.51548,10.0492,-1.87599,1.8204,-0.140747,0.96374,12.0625,-2.56123,-1.9198,5.43699,-14.0815,2.68396,1.27178,-4.19008,0.243568,12.2985,-5.24534,-3.93212,14.816,-22.7797,-2.6896,1.95898,-1.70058,3.27869,0.461115,-6.14667,-3.28796,2.3369,-5.37438,1.05937,-4.38456,-5.21569,0,0.569622,-0.143443,0.789915,0.609893,-0.397908,0.483972,0.430028,-0.58031,0.232991,0.32699,-0.578717,0.230791,-0.652045,-0.300019,-0.597535,-0.567349,-0.395649,-0.445395,-0.495451,-0.389977,-0.503325,0.741979,-0.170907,0.607207,0.472926,-0.133064,0.839156,0.383069,-0.731775,0.246956,0.217419,-0.744974,0.224743,0.230422,-0.245498,0.032961,-0.611124,-0.56211,-0.41293,-0.473294,-0.636145,-0.391502,-0.296884,-0.0687888,-0.369213
